byte_hex,byte_dec,zone,description,used_by_spanish,used_by_button_glyph,collision_result
0x6B,107,ASCII_PRINTABLE_ZONE,Standard ASCII character 'k',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x6C,108,ASCII_PRINTABLE_ZONE,Standard ASCII character 'l',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x6D,109,ASCII_PRINTABLE_ZONE,Standard ASCII character 'm',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x6E,110,ASCII_PRINTABLE_ZONE,Standard ASCII character 'n',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x6F,111,ASCII_PRINTABLE_ZONE,Standard ASCII character 'o',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x70,112,ASCII_PRINTABLE_ZONE,Standard ASCII character 'p',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x71,113,ASCII_PRINTABLE_ZONE,Standard ASCII character 'q',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x72,114,ASCII_PRINTABLE_ZONE,Standard ASCII character 'r',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x73,115,ASCII_PRINTABLE_ZONE,Standard ASCII character 's',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x74,116,ASCII_PRINTABLE_ZONE,Standard ASCII character 't',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x75,117,ASCII_PRINTABLE_ZONE,Standard ASCII character 'u',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x76,118,ASCII_PRINTABLE_ZONE,Standard ASCII character 'v',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x77,119,ASCII_PRINTABLE_ZONE,Standard ASCII character 'w',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x78,120,ASCII_PRINTABLE_ZONE,Standard ASCII character 'x',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x79,121,ASCII_PRINTABLE_ZONE,Standard ASCII character 'y',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x7A,122,ASCII_PRINTABLE_ZONE,Standard ASCII character 'z',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x7B,123,ASCII_PRINTABLE_ZONE,Standard ASCII character '{',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x7C,124,ASCII_PRINTABLE_ZONE,Standard ASCII character '|',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x7D,125,ASCII_PRINTABLE_ZONE,Standard ASCII character '}',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x7E,126,ASCII_PRINTABLE_ZONE,Standard ASCII character '~',YES (ASCII),NO,SAFE_STANDARD_ASCII
0x7F,127,BLANK_SPACE_ZONE,Trailing character / blank space,NO,NO,SAFE_RESERVED
0x80,128,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'Á' (replaces À),YES (Á),NO,SAFE_SPANISH_REMAP
0x81,129,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'Ñ' (replaces Î),YES (Ñ),NO,SAFE_SPANISH_REMAP
0x82,130,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x83,131,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish '¡' (replaces Ä),YES (¡),NO,SAFE_SPANISH_REMAP
0x84,132,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x85,133,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish '¿' (replaces È),YES (¿),NO,SAFE_SPANISH_REMAP
0x86,134,EUROPEAN_ACCENTS_ZONE,Native stock font letter É (Latin Capital Letter E With Acute),YES (Native stock),NO,SAFE_STOCK_FONT
0x87,135,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x88,136,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x89,137,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'Í' (replaces Ï),YES (Í),NO,SAFE_SPANISH_REMAP
0x8A,138,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'Ó' (replaces Ô),YES (Ó),NO,SAFE_SPANISH_REMAP
0x8B,139,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x8C,140,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'Ú' (replaces Ù),YES (Ú),NO,SAFE_SPANISH_REMAP
0x8D,141,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x8E,142,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x8F,143,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x90,144,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x91,145,EUROPEAN_ACCENTS_ZONE,Native stock font letter á (Latin Small Letter A With Acute),YES (Native stock),NO,SAFE_STOCK_FONT
0x92,146,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'ñ' (replaces â),YES (ñ),NO,SAFE_SPANISH_REMAP
0x93,147,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x94,148,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x95,149,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x96,150,EUROPEAN_ACCENTS_ZONE,Native stock font letter é (Latin Small Letter E With Acute),YES (Native stock),NO,SAFE_STOCK_FONT
0x97,151,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x98,152,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x99,153,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'í' (replaces ï),YES (í),NO,SAFE_SPANISH_REMAP
0x9A,154,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'ó' (replaces ô),YES (ó),NO,SAFE_SPANISH_REMAP
0x9B,155,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x9C,156,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x9D,157,EUROPEAN_ACCENTS_ZONE,Assigned to Spanish 'ú' (replaces û),YES (ú),NO,SAFE_SPANISH_REMAP
0x9E,158,EUROPEAN_ACCENTS_ZONE,Unused French/German slot (available for future expansion),NO,NO,AVAILABLE_UNUSED
0x9F,159,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [A] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA0,160,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [B] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA1,161,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [C] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA2,162,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [L] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA3,163,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [R] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA4,164,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [Z] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA5,165,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [C-Up] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA6,166,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [C-Down] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA7,167,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [C-Left] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA8,168,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: [C-Right] Button,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xA9,169,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: Z-Target Sign,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xAA,170,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: Control Stick,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
0xAB,171,BUTTON_GLYPH_ZONE,Reserved N64 button glyph: Control Pad / D-Pad,NO (STRICTLY PROHIBITED),YES,SAFE_RESERVED_BUTTON_GLYPH
