id,domain,length,pages,max_lines_per_page,max_line_length,has_choice,has_player,risk_tier,reason
Rando::GIMESSAGE::RG_BOMBCHU_SHOP_KEY,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_RICHARDS_HOUSE_KEY,MAIN_GAME,44,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_ALLEY_HOUSE_KEY,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_KAK_BAZAAR_KEY,MAIN_GAME,44,1,2,25,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_KAK_POTION_SHOP_KEY,MAIN_GAME,59,1,2,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOSS_HOUSE_KEY,MAIN_GAME,42,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GRANNYS_POTION_SHOP_KEY,MAIN_GAME,60,1,2,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SKULLTULA_HOUSE_KEY,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_IMPAS_HOUSE_KEY,MAIN_GAME,41,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WINDMILL_KEY,MAIN_GAME,33,1,2,25,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_KAK_SHOOTING_GALLERY_KEY,MAIN_GAME,56,1,2,28,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DAMPES_HUT_KEY,MAIN_GAME,44,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_TALONS_HOUSE_KEY,MAIN_GAME,42,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_STABLES_KEY,MAIN_GAME,37,1,2,28,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BACK_TOWER_KEY,MAIN_GAME,42,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_HYLIA_LAB_KEY,MAIN_GAME,47,1,2,25,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FISHING_HOLE_KEY,MAIN_GAME,35,1,2,25,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GERUDO_FORTRESS_KEY_RING,MAIN_GAME,52,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FOREST_TEMPLE_KEY_RING,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FIRE_TEMPLE_KEY_RING,MAIN_GAME,45,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WATER_TEMPLE_KEY_RING,MAIN_GAME,44,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_KEY_RING,MAIN_GAME,48,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_KEY_RING,MAIN_GAME,48,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_KEY_RING,MAIN_GAME,43,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GERUDO_TRAINING_GROUND_KEY_RING,MAIN_GAME,60,1,2,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GANONS_CASTLE_KEY_RING,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_TREASURE_GAME_KEY_RING,MAIN_GAME,55,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FOREST_TEMPLE_BOSS_KEY,MAIN_GAME,49,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FIRE_TEMPLE_BOSS_KEY,MAIN_GAME,48,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WATER_TEMPLE_BOSS_KEY,MAIN_GAME,47,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_BOSS_KEY,MAIN_GAME,51,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_BOSS_KEY,MAIN_GAME,51,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GANONS_CASTLE_BOSS_KEY,MAIN_GAME,49,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DEKU_TREE_MAP,MAIN_GAME,46,1,2,24,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DODONGOS_CAVERN_MAP,MAIN_GAME,54,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_JABU_JABUS_BELLY_MAP,MAIN_GAME,58,1,2,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FOREST_TEMPLE_MAP,MAIN_GAME,53,1,2,28,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FIRE_TEMPLE_MAP,MAIN_GAME,52,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WATER_TEMPLE_MAP,MAIN_GAME,51,1,2,26,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_MAP,MAIN_GAME,55,1,2,30,NO,NO,NEEDS_RUNTIME_CHECK,Boundary line length (30) or dynamic [PLAYER] token on line
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_MAP,MAIN_GAME,55,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_MAP,MAIN_GAME,50,1,2,25,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_ICE_CAVERN_MAP,MAIN_GAME,52,1,2,26,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DEKU_TREE_COMPASS,MAIN_GAME,39,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DODONGOS_CAVERN_COMPASS,MAIN_GAME,47,1,2,29,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_JABU_JABUS_BELLY_COMPASS,MAIN_GAME,51,1,2,29,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FOREST_TEMPLE_COMPASS,MAIN_GAME,46,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FIRE_TEMPLE_COMPASS,MAIN_GAME,45,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WATER_TEMPLE_COMPASS,MAIN_GAME,44,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SPIRIT_TEMPLE_COMPASS,MAIN_GAME,48,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SHADOW_TEMPLE_COMPASS,MAIN_GAME,48,1,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOTTOM_OF_THE_WELL_COMPASS,MAIN_GAME,35,1,2,28,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_ICE_CAVERN_COMPASS,MAIN_GAME,49,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_CHILD_WALLET,MAIN_GAME,75,1,3,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GOHMA_SOUL,MAIN_GAME,32,1,1,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_KING_DODONGO_SOUL,MAIN_GAME,39,1,2,29,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BARINADE_SOUL,MAIN_GAME,35,1,1,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_PHANTOM_GANON_SOUL,MAIN_GAME,40,1,2,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_VOLVAGIA_SOUL,MAIN_GAME,35,1,1,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MORPHA_SOUL,MAIN_GAME,33,1,1,33,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BONGO_BONGO_SOUL,MAIN_GAME,38,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_TWINROVA_SOUL,MAIN_GAME,35,1,1,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_GANON_SOUL,MAIN_GAME,32,1,1,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BRONZE_SCALE,MAIN_GAME,71,1,2,37,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_FISHING_POLE,MAIN_GAME,70,1,2,42,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOMBCHU_BAG,MAIN_GAME,35,1,1,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOMB_BAG_INF,MAIN_GAME,76,1,2,42,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_QUIVER_INF,MAIN_GAME,67,1,2,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_STICK_UPGRADE_INF,MAIN_GAME,38,1,1,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_NUT_UPGRADE_INF,MAIN_GAME,39,1,1,39,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_MAGIC_INF,MAIN_GAME,33,1,1,33,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_BOMBCHU_INF,MAIN_GAME,36,1,1,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_WALLET_INF,MAIN_GAME,34,1,1,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_SKELETON_KEY,MAIN_GAME,34,1,1,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DEKU_STICK_BAG,MAIN_GAME,71,1,2,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::GIMESSAGE::RG_DEKU_NUT_BAG,MAIN_GAME,73,1,2,39,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::CUSTOM_MSG::L589,MAIN_GAME,71,1,1,71,NO,NO,HIGH_LAYOUT_RISK,Lines per page (1) > 4 or line length (71) > 52 chars
Rando::CUSTOM_MSG::L604,MAIN_GAME,56,1,2,37,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::CUSTOM_MSG::L689,MAIN_GAME,98,1,3,42,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::CUSTOM_MSG::L696,MAIN_GAME,59,1,2,39,YES,NO,NEEDS_RUNTIME_CHECK,Boundary line length (39) or dynamic [PLAYER] token on line
Rando::CUSTOM_MSG::L4609,MAIN_GAME,87,1,1,87,NO,NO,HIGH_LAYOUT_RISK,Lines per page (1) > 4 or line length (87) > 52 chars
Rando::CUSTOM_MSG::L4615,MAIN_GAME,33,1,1,33,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::CUSTOM_MSG::L4646,MAIN_GAME,60,2,1,33,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
Rando::CUSTOM_MSG::L4670,MAIN_GAME,65,2,2,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0001,MAIN_GAME,140,1,4,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0002,MAIN_GAME,119,1,4,37,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0003,MAIN_GAME,130,1,4,42,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0004,MAIN_GAME,116,1,4,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0005,MAIN_GAME,108,1,4,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0006,MAIN_GAME,60,1,4,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0007,MAIN_GAME,92,1,4,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0008,MAIN_GAME,98,1,3,37,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0009,MAIN_GAME,79,1,4,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x000A,MAIN_GAME,113,1,4,44,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x000B,MAIN_GAME,126,1,4,39,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x000C,MAIN_GAME,130,1,4,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x000D,MAIN_GAME,111,1,4,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x000E,MAIN_GAME,140,1,4,41,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x000F,MAIN_GAME,11,1,1,11,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0010,MAIN_GAME,134,1,4,41,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0011,MAIN_GAME,118,1,4,43,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0012,MAIN_GAME,111,1,4,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0013,MAIN_GAME,115,1,4,39,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0014,MAIN_GAME,110,1,4,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0015,MAIN_GAME,120,1,4,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0016,MAIN_GAME,107,1,4,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0017,MAIN_GAME,97,1,3,42,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0018,MAIN_GAME,290,4,4,33,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0019,MAIN_GAME,139,3,3,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x001A,MAIN_GAME,41,1,4,24,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x001B,MAIN_GAME,52,1,2,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x001C,MAIN_GAME,124,1,4,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x001D,MAIN_GAME,125,1,4,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x001E,MAIN_GAME,61,1,4,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x001F,MAIN_GAME,54,1,2,29,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0020,MAIN_GAME,120,2,3,37,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0021,MAIN_GAME,72,1,3,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0022,MAIN_GAME,30,1,1,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0023,MAIN_GAME,47,1,2,24,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0024,MAIN_GAME,527,5,4,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0025,MAIN_GAME,47,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0026,MAIN_GAME,529,5,4,41,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0027,MAIN_GAME,63,1,3,28,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0028,MAIN_GAME,171,2,3,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0029,MAIN_GAME,194,3,3,46,NO,NO,NEEDS_RUNTIME_CHECK,Boundary line length (46) or dynamic [PLAYER] token on line
0x002A,MAIN_GAME,62,1,4,32,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x002B,MAIN_GAME,68,1,4,27,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x002C,MAIN_GAME,31,1,1,31,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x002D,MAIN_GAME,45,1,2,30,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x002E,MAIN_GAME,289,3,4,37,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x002F,MAIN_GAME,46,1,2,34,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0030,MAIN_GAME,397,3,4,49,NO,NO,NEEDS_RUNTIME_CHECK,Boundary line length (49) or dynamic [PLAYER] token on line
0x0031,MAIN_GAME,253,2,4,43,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0032,MAIN_GAME,228,2,4,45,NO,NO,NEEDS_RUNTIME_CHECK,Boundary line length (45) or dynamic [PLAYER] token on line
0x0033,MAIN_GAME,223,2,4,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0034,MAIN_GAME,176,2,3,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0035,MAIN_GAME,160,2,3,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0036,MAIN_GAME,291,3,4,35,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0037,MAIN_GAME,265,3,4,36,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0038,MAIN_GAME,143,1,4,38,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
0x0039,MAIN_GAME,282,2,4,42,NO,NO,LIKELY_SAFE,Fits comfortably within standard 4-line 42-char dialog box
