id,english,spanish_before,spanish_after,reason,context,evidence,risk,confidence
ACCESSIBILITY::filechoose_eng::quest_sel_boss_rush,Quest - Boss Rush,Quest - Boss Rush,Misión - Desafío de Jefes,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/filechoose_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::256,Haunted Wasteland,Haunted Wasteland,Desierto Encantado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::258,Gerudo Valley,Gerudo Valley,Valle Gerudo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::260,Lon Lon Ranch,Lon Lon Ranch,Rancho Lon Lon,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::261,Market,Market,Mercado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::262,Hyrule Field,Hyrule Field,Pradera de Hyrule,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::264,Kakariko Village,Kakariko Village,Aldea Kakariko,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::265,Lost Woods,Lost Woods,Bosque Perdido,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::266,Kokiri Forest,Kokiri Forest,Bosque Kokiri,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::267,Zoras Domain,Zoras Domain,Dominio Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::292,Hyrule Field,Hyrule Field,Pradera de Hyrule,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::293,Kakariko Village,Kakariko Village,Aldea Kakariko,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::294,Graveyard,Graveyard,Cementerio,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::295,Zoras River,Zoras River,Río Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::296,Kokiri Forest,Kokiri Forest,Bosque Kokiri,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::297,Sacred Forest Meadow,Sacred Forest Meadow,Pradera Sagrada del Bosque,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::298,Lake Hylia,Lake Hylia,Lago Hylia,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::299,Zoras Domain,Zoras Domain,Dominio Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::300,Zoras Fountain,Zoras Fountain,Fuente Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::301,Gerudo Valley,Gerudo Valley,Valle Gerudo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::302,Lost Woods,Lost Woods,Bosque Perdido,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::303,Desert Colossus,Desert Colossus,Coloso del Desierto,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::304,Gerudo's Fortress,Gerudo's Fortress,Fortaleza Gerudo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::305,Haunted Wasteland,Haunted Wasteland,Desierto Encantado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::306,Market,Market,Mercado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::307,Hyrule Castle,Hyrule Castle,Castillo de Hyrule,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::308,Death Mountain Trail,Death Mountain Trail,Sendero del Monte Muerte,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::309,Death Mountain Crater,Death Mountain Crater,Cráter del Monte Muerte,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::310,Goron City,Goron City,Ciudad Goron,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::311,Lon Lon Ranch,Lon Lon Ranch,Rancho Lon Lon,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::312,Question Mark,Question Mark,Signo de Interrogación,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::kaleidoscope_eng::313,Ganon's Castle,Ganon's Castle,Castillo de Ganon,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/kaleidoscope_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::0,Inside the Deku Tree,Inside the Deku Tree,Interior del Gran Árbol Deku,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::1,Dodongo's Cavern,Dodongo's Cavern,Cueva de los Dodongos,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::2,Inside Jabu-Jabu's Belly,Inside Jabu-Jabu's Belly,Vientre de Jabu-Jabu,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::3,Forest Temple,Forest Temple,Templo del Bosque,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::4,Fire Temple,Fire Temple,Templo del Fuego,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::5,Water Temple,Water Temple,Templo del Agua,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::6,Spirit Temple,Spirit Temple,Templo del Espíritu,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::7,Shadow Temple,Shadow Temple,Templo de la Sombra,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::8,Bottom of The Well,Bottom of The Well,Fondo del Pozo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::9,Ice Cavern,Ice Cavern,Caverna de Hielo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::11,Gerudo Training Ground,Gerudo Training Ground,Campo de Entrenamiento Gerudo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::12,Thieves' Hideout,Thieves' Hideout,Guarida de los Ladrones,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::13,Ganon's Castle,Ganon's Castle,Castillo de Ganon,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::16,Treasure Box Shop,Treasure Box Shop,Tienda de Cofres del Tesoro,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::17,Parasitic Armored Arachnid - Gohma,Parasitic Armored Arachnid - Gohma,Arácnido Acorazado Parásito - Gohma,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::18,Infernal Dinosaur - King Dodongo,Infernal Dinosaur - King Dodongo,Dinosaurio Infernal - Rey Dodongo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::19,Bio-electric Anemone - Barinade,Bio-electric Anemone - Barinade,Anémona Bioeléctrica - Barinade,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::20,Evil Spirit from Beyond - Phantom Ganon,Evil Spirit from Beyond - Phantom Ganon,Espíritu Maligno del Más Allá - Phantom Ganon,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::21,Subterranean Lava Dragon - Volvagia,Subterranean Lava Dragon - Volvagia,Dragón de Lava Subterráneo - Volvagia,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::22,Giant Aquatic Amoeba - Morpha,Giant Aquatic Amoeba - Morpha,Ameba Acuática Gigante - Morpha,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::23,Sorceress Sisters - Twinrova,Sorceress Sisters - Twinrova,Hermanas Hechiceras - Twinrova,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::24,Phantom Shadow Beast - Bongo Bongo,Phantom Shadow Beast - Bongo Bongo,Bestia Fantasmal de las Sombras - Bongo Bongo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::25,Great King of Evil - Ganondorf,Great King of Evil - Ganondorf,Gran Rey del Mal - Ganondorf,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::30,Back Alley,Back Alley,Callejón,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::31,Back Alley,Back Alley,Callejón,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::32,Market,Market,Mercado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::33,Market,Market,Mercado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::34,Market,Market,Mercado,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::44,Bazaar,Bazaar,Bazar,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::45,Kokiri Shop,Kokiri Shop,Tienda Kokiri,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::46,Goron Shop,Goron Shop,Tienda Goron,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::47,Zora Shop,Zora Shop,Tienda Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::49,Potion Shop,Potion Shop,Tienda de Pociones,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::51,Happy Mask Shop,Happy Mask Shop,Tienda de Máscaras Felices,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::54,Stable,Stable,Establo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::56,Lakeside Laboratory,Lakeside Laboratory,Laboratorio del Lago,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::58,Gravekeepers Hut,Gravekeepers Hut,Cabaña del Enterrador,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::59,Great Fairy's Fountain,Great Fairy's Fountain,Fuente de la Gran Hada,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::60,Fairy's Fountain,Fairy's Fountain,Fuente de las Hadas,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::61,Great Fairy's Fountain,Great Fairy's Fountain,Fuente de la Gran Hada,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::65,Royal Family's Tomb,Royal Family's Tomb,Cripta de la Familia Real,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::66,Shooting Gallery,Shooting Gallery,Galería de Tiro,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::67,Temple of Time,Temple of Time,Templo del Tiempo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::68,Chamber of The Sages,Chamber of The Sages,Cámara de los Sabios,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::69,Castle Courtyard,Castle Courtyard,Patio del Castillo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::70,Castle Courtyard,Castle Courtyard,Patio del Castillo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::72,Unknown Place,Unknown Place,Lugar Desconocido,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::73,Fishing Pond,Fishing Pond,Estanque de Pesca,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::74,Castle Courtyard,Castle Courtyard,Patio del Castillo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::75,Bombchu Bowling Alley,Bombchu Bowling Alley,Bolera Bombchu,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::80,House of Skulltula,House of Skulltula,Casa de las Skulltulas,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::81,Hyrule Field,Hyrule Field,Pradera de Hyrule,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::82,Kakariko Village,Kakariko Village,Aldea Kakariko,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::83,Graveyard,Graveyard,Cementerio,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::84,Zora's River,Zora's River,Río Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::85,Kokiri Forest,Kokiri Forest,Bosque Kokiri,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::86,Sacred Forest Meadow,Sacred Forest Meadow,Pradera Sagrada del Bosque,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::87,Lake Hylia,Lake Hylia,Lago Hylia,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::88,Zoras Domain,Zoras Domain,Dominio Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::89,Zoras Fountain,Zoras Fountain,Fuente Zora,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
ACCESSIBILITY::scenes_eng::90,Gerudo Valley,Gerudo Valley,Valle Gerudo,Resolve residual English in accessibility screen-reader label,Accessibility label in accessibility/texts/scenes_eng.json,Canonical Zelda ES-419 terminology alignment,MEDIUM_RISK,HIGH
