resource,candidate_1,candidate_2,reason_uncertain,recommended_validation
gChristmasGreenTreasureChestFrontTex.rgb5a1.png,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0154B0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_015CB0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_0164B0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_dangeon_keepTex_016CB0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gBgBombWallBrokenTex,METAL,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gBgBombwallNormalTex,METAL,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gButterflyWingTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gFieldBushTex,FOLIAGE,GRASS,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFieldDoor1Tex,GRASS,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFieldDoorKnobTex,GRASS,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFieldDoorKnobTopHalfTex,GRASS,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFieldSandstorm1Tex,SAND,GRASS,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFieldSandstorm2Tex,SAND,GRASS,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFieldSilverRockTex,GRASS,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gArrowShaftTex,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gBombBodyTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gBombchuBodyTex,SKIN,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gBottleGlassTex,GLASS,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gCircleShadowTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gDebugBallTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gDebugCircleTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gDebugCrossTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gDebugCursorTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gDoorMetalBarsTex,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gDropMagicLargeTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gDropMagicSmallTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffBubble1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffBubble2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint1Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint2Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint3Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint4Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint5Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint6Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint7Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFireFootprint8Tex,LAVA,SKIN,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffFleckTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark10Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark11Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark12Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark13Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark14Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark15Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark16Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark17Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark18Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark19Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark20Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark21Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark22Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark23Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark24Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark5Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark6Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark7Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark8Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffHitMark9Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning5Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning6Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning7Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffLightning8Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffSpark1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffSpark2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffSpark3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffSpark4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffSparklesTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown10Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown11Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown12OverflowTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown12Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown13Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown14Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown5Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown6Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown8Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnknown9Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles5Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles6Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles7Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffUnusedBubbles8Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash1Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash2Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash3Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash4Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash5Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash6Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash7Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gEffWaterSplash8Tex,WATER,SMOKE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFishTailTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gFlameWall1Tex,LAVA,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gFlameWall2Tex,LAVA,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gGenericDungeonDoorTex,WOOD,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gHilite1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gHilite2Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gHilite2Tex_Overflow,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gHilite3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gHilite4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gHorseShadowTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gHylianShieldDesignTex,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gMoonTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gSelectionCursorTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gSun1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gSunEvening1Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gUnknownCircle3Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gUnknownCircle4Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gUnknownCircle6Tex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gUnknownEffBlureTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gUnusedGrassBladesTex,GRASS,METAL,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gUnusedStoneHookshotTargetTex,METAL,STONE,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gUnusedTreeBarkTex,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gUnusedTreeStumpBarkTex,METAL,WOOD,keyword collision (shared name evidence),in-engine draw capture + surface mapping; visual texture inspection
gUnusedUpsideDownZeldaTex,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_keepTex_04C540,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_keepTex_04C740,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_keepTex_04CD40,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_keepTex_04CF40,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
gameplay_keep_Tex_0CE60,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_001220,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_001420,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_0014A0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_0014C0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_001540,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_0015C0,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_001640,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_Bb_Tex_001740,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_0002FC,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_0003FC,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_0004FC,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_00053C,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_00057C,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_00067C,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_00077C,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_00087C,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_00097C,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_0009BC,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_0009FC,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_000BFC,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_004948,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_004988,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_004B88,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_ahg_Tex_004C88,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_amTex_002638,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_amTex_002838,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
object_amTex_002938,UNKNOWN,UNKNOWN,no semantic evidence (offset-named or unkeyworded),in-engine draw capture + surface mapping; visual texture inspection
