asset_id,path,width_if_known,height_if_known,format_if_known,alpha,usage_type,scene_or_object,combiner_type,render_mode,material_candidate,risk,notes
"gGoronShopBgTex","__OTR__textures/vr_GLVR_static/gGoronShopBgTex","256","256","CI8","UNKNOWN","3D/background","Goron Shop interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_GLVR_pal_static TLUT."
"gRichardsHouseBgTex","__OTR__textures/vr_IPVR_static/gRichardsHouseBgTex","256","256","CI8","UNKNOWN","3D/background","Richard's House interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_IPVR_pal_static TLUT."
"gHouseOfTwinsBgTex","__OTR__textures/vr_K3VR_static/gHouseOfTwinsBgTex","256","256","CI8","UNKNOWN","3D/background","House of Twins interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_K3VR_pal_static TLUT."
"gMidosHouseBgTex","__OTR__textures/vr_K4VR_static/gMidosHouseBgTex","256","256","CI8","UNKNOWN","3D/background","Mido's House interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_K4VR_pal_static TLUT."
"gMarketDayBgTex","__OTR__textures/vr_MDVR_static/gMarketDayBgTex","256","256","CI8","UNKNOWN","3D/background","Market daytime background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_MDVR_pal_static TLUT."
"gLinksHouseBgTex","__OTR__textures/vr_LHVR_static/gLinksHouseBgTex","256","256","CI8","UNKNOWN","3D/background","Link's House interior background","UNKNOWN","UNKNOWN","CLASSIC_OPAQUE","MEDIUM","Source XML: N64_PAL_11 textures/backgrounds.xml; CI8 with vr_LHVR_pal_static TLUT."
"gFileSelConnectorTex","__OTR__textures/title_static/gFileSelConnectorTex","24","16","IA8","YES","UI/HUD","File select connector","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/title_static.xml; file-select UI element."
"gFileSelForestMedallionTex","__OTR__textures/title_static/gFileSelForestMedallionTex","16","16","IA8","YES","UI/HUD","File select Forest Medallion indicator","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/title_static.xml; file-select HUD icon."
"gFileSelWindow1Tex","__OTR__textures/title_static/gFileSelWindow1Tex","64","32","IA16","YES","UI/HUD","File select window panel","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/title_static.xml; IA16 file-select window texture."
"gFileSelKanjiButtonTex","__OTR__textures/title_static/gFileSelKanjiButtonTex","28","16","IA16","YES","UI/HUD","File select Kanji input button","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/title_static.xml; IA16 file-select button."
"gFileSelKokiriEmeraldTex","__OTR__textures/title_static/gFileSelKokiriEmeraldTex","16","16","RGBA32","YES","UI/HUD","File select Kokiri Emerald indicator","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/title_static.xml; RGBA32 file-select HUD icon."
"gFileSelOptionsDividerTex","__OTR__textures/title_static/gFileSelOptionsDividerTex","256","2","IA4","YES","UI/HUD","File select options divider","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/title_static.xml; thin IA4 UI divider."
"gHeartEmptyTex","__OTR__textures/parameter_static/gHeartEmptyTex","16","16","IA8","YES","HUD","Empty heart container","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/parameter_static.xml; HUD heart meter."
"gHeartFullTex","__OTR__textures/parameter_static/gHeartFullTex","16","16","IA8","YES","HUD","Full heart container","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/parameter_static.xml; HUD heart meter."
"gDefenseHeartFullTex","__OTR__textures/parameter_static/gDefenseHeartFullTex","16","16","IA8","YES","HUD","Defense heart container","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/parameter_static.xml; HUD defense heart meter."
"gButtonBackgroundTex","__OTR__textures/parameter_static/gButtonBackgroundTex","32","32","IA8","YES","HUD","C-button background","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/parameter_static.xml; HUD button background."
"gCarrotIconTex","__OTR__textures/parameter_static/gCarrotIconTex","16","16","RGBA32","YES","HUD","Carrot timer icon","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/parameter_static.xml; RGBA32 HUD timer icon."
"gMagicMeterFillTex","__OTR__textures/parameter_static/gMagicMeterFillTex","8","8","IA8","YES","HUD","Magic meter fill segment","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/parameter_static.xml; HUD magic meter segment."
"gDekuTreeRoom0Floor1MinimapTex","__OTR__textures/map_i_static/gDekuTreeRoom0Floor1MinimapTex","96","85","I4","NO","UI/map","Deku Tree room 0 floor 1 minimap","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_i_static.xml; I4 minimap floor tile."
"gDodongosCavernRoom0MinimapTex","__OTR__textures/map_i_static/gDodongosCavernRoom0MinimapTex","96","85","I4","NO","UI/map","Dodongo's Cavern room 0 minimap","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_i_static.xml; I4 minimap floor tile."
"gForestTempleRoom0Floor1MinimapTex","__OTR__textures/map_i_static/gForestTempleRoom0Floor1MinimapTex","96","85","I4","NO","UI/map","Forest Temple room 0 floor 1 minimap","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_i_static.xml; I4 minimap floor tile."
"gWaterTempleRoom0Floor1MinimapTex","__OTR__textures/map_i_static/gWaterTempleRoom0Floor1MinimapTex","96","85","I4","NO","UI/map","Water Temple room 0 floor 1 minimap","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_i_static.xml; I4 minimap floor tile."
"gDekuTreePauseScreenMapFloor1LeftTex","__OTR__textures/map_48x85_static/gDekuTreePauseScreenMapFloor1LeftTex","48","85","CI4","UNKNOWN","UI/map","Deku Tree pause-screen map left half","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_48x85_static.xml; CI4 requires its palette."
"gDodongosCavernPauseScreenMapFloor1LeftTex","__OTR__textures/map_48x85_static/gDodongosCavernPauseScreenMapFloor1LeftTex","48","85","CI4","UNKNOWN","UI/map","Dodongo's Cavern pause-screen map left half","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_48x85_static.xml; CI4 requires its palette."
"gFireTemplePauseScreenMapFloor1LeftTex","__OTR__textures/map_48x85_static/gFireTemplePauseScreenMapFloor1LeftTex","48","85","CI4","UNKNOWN","UI/map","Fire Temple pause-screen map left half","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_48x85_static.xml; CI4 requires its palette."
"gWaterTemplePauseScreenMapFloor1LeftTex","__OTR__textures/map_48x85_static/gWaterTemplePauseScreenMapFloor1LeftTex","48","85","CI4","UNKNOWN","UI/map","Water Temple pause-screen map left half","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/map_48x85_static.xml; CI4 requires its palette."
"gMsgChar20SpaceTex","__OTR__textures/nes_font_static/gMsgChar20SpaceTex","16","16","I4","NO","UI/font","NES font space glyph","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/nes_font_static.xml; source declares I4 rather than IA8."
"gMsgChar21ExclamationMarkTex","__OTR__textures/nes_font_static/gMsgChar21ExclamationMarkTex","16","16","I4","NO","UI/font","NES font exclamation glyph","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/nes_font_static.xml; source declares I4 rather than IA8."
"gMsgChar30Digit0Tex","__OTR__textures/nes_font_static/gMsgChar30Digit0Tex","16","16","I4","NO","UI/font","NES font digit 0 glyph","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/nes_font_static.xml; source declares I4 rather than IA8."
"gMsgChar41LatinCapitalLetterATex","__OTR__textures/nes_font_static/gMsgChar41LatinCapitalLetterATex","16","16","I4","NO","UI/font","NES font Latin A glyph","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/nes_font_static.xml; source declares I4 rather than IA8."
"gMsgKanji8140SpaceTex","__OTR__textures/kanji/gMsgKanji8140SpaceTex","16","16","I4","NO","UI/font","Japanese message font space glyph","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_NTSC_12 textures/kanji.xml; Japanese message glyph."
"gMsgKanji8144PeriodTex","__OTR__textures/kanji/gMsgKanji8144PeriodTex","16","16","I4","NO","UI/font","Japanese message font period glyph","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_NTSC_12 textures/kanji.xml; Japanese message glyph."
"gMsgKanji82A0HiraganaATex","__OTR__textures/kanji/gMsgKanji82A0HiraganaATex","16","16","I4","NO","UI/font","Japanese message font Hiragana A glyph","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_NTSC_12 textures/kanji.xml; Japanese message glyph."
"gMsgKanji8341KatakanaATex","__OTR__textures/kanji/gMsgKanji8341KatakanaATex","16","16","I4","NO","UI/font","Japanese message font Katakana A glyph","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_NTSC_12 textures/kanji.xml; Japanese message glyph."
"gAttackDoActionENGTex","__OTR__textures/do_action_static/gAttackDoActionENGTex","48","16","IA4","YES","UI/font","Attack action prompt","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/do_action_static.xml; English action prompt."
"gCheckDoActionENGTex","__OTR__textures/do_action_static/gCheckDoActionENGTex","48","16","IA4","YES","UI/font","Check action prompt","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/do_action_static.xml; English action prompt."
"gEnterDoActionENGTex","__OTR__textures/do_action_static/gEnterDoActionENGTex","48","16","IA4","YES","UI/font","Enter action prompt","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/do_action_static.xml; English action prompt."
"gSpeakDoActionENGTex","__OTR__textures/do_action_static/gSpeakDoActionENGTex","48","16","IA4","YES","UI/font","Speak action prompt","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/do_action_static.xml; English action prompt."
"gDekuStickItemNameENGTex","__OTR__textures/item_name_static/gDekuStickItemNameENGTex","128","16","IA4","YES","UI/font","Deku Stick item name","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/item_name_static.xml; English item-name label."
"gBombItemNameENGTex","__OTR__textures/item_name_static/gBombItemNameENGTex","128","16","IA4","YES","UI/font","Bomb item name","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/item_name_static.xml; English item-name label."
"gFairyBowItemNameENGTex","__OTR__textures/item_name_static/gFairyBowItemNameENGTex","128","16","IA4","YES","UI/font","Fairy Bow item name","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/item_name_static.xml; English item-name label."
"gOcarinaOfTimeItemNameENGTex","__OTR__textures/item_name_static/gOcarinaOfTimeItemNameENGTex","128","16","IA4","YES","UI/font","Ocarina of Time item name","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/item_name_static.xml; English item-name label."
"gDefaultMessageBackgroundTex","__OTR__textures/message_static/gDefaultMessageBackgroundTex","128","64","IA4","YES","UI/font","Default message box background","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/message_static.xml; IA4 message box panel."
"gSignMessageBackgroundTex","__OTR__textures/message_static/gSignMessageBackgroundTex","128","64","IA4","YES","UI/font","Sign message box background","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/message_static.xml; IA4 message box panel."
"gFadingMessageBackgroundTex","__OTR__textures/message_static/gFadingMessageBackgroundTex","128","64","I4","NO","UI/font","Fading message box background","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/message_static.xml; I4 message box panel."
"gMessageContinueTriangleTex","__OTR__textures/message_static/gMessageContinueTriangleTex","16","16","I4","NO","UI/font","Message continue triangle","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/message_static.xml; I4 message prompt glyph."
"gForestTempleTitleCardENGTex","__OTR__textures/g_pn_01/gForestTempleTitleCardENGTex","144","24","IA8","YES","UI/decal","Forest Temple place title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/place_title_cards.xml; English place-title decal."
"gShadowTempleTitleCardENGTex","__OTR__textures/g_pn_02/gShadowTempleTitleCardENGTex","144","24","IA8","YES","UI/decal","Shadow Temple place title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/place_title_cards.xml; English place-title decal."
"gFireTempleTitleCardENGTex","__OTR__textures/g_pn_03/gFireTempleTitleCardENGTex","144","24","IA8","YES","UI/decal","Fire Temple place title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/place_title_cards.xml; English place-title decal."
"gWaterTempleTitleCardENGTex","__OTR__textures/g_pn_04/gWaterTempleTitleCardENGTex","144","24","IA8","YES","UI/decal","Water Temple place title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/place_title_cards.xml; English place-title decal."
"gGohmaTitleCardENGTex","__OTR__textures/object_goma/gGohmaTitleCardENGTex","128","40","I8","NO","UI/decal","Queen Gohma boss title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/boss_title_cards.xml; English boss-title decal."
"gBarinadeTitleCardENGTex","__OTR__textures/object_bv/gBarinadeTitleCardENGTex","128","40","I8","NO","UI/decal","Barinade boss title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/boss_title_cards.xml; English boss-title decal."
"gVolvagiaBossTitleCardENGTex","__OTR__textures/object_fd/gVolvagiaBossTitleCardENGTex","128","40","I8","NO","UI/decal","Volvagia boss title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/boss_title_cards.xml; English boss-title decal."
"gGanondorfTitleCardENGTex","__OTR__textures/object_ganon/gGanondorfTitleCardENGTex","128","40","I8","NO","UI/decal","Ganondorf boss title card","UNKNOWN","UNKNOWN","UNKNOWN","MEDIUM","Source XML: N64_PAL_11 textures/boss_title_cards.xml; English boss-title decal."
"nintendo_rogo_staticTex_0029C0","__OTR__textures/nintendo_rogo_static/nintendo_rogo_staticTex_0029C0","32","32","I8","NO","UI/sprite","Nintendo 64 logo tile","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/nintendo_rogo_static.xml; I8 logo sprite."
"nintendo_rogo_static_Tex_000000","__OTR__textures/nintendo_rogo_static/nintendo_rogo_static_Tex_000000","192","32","I8","NO","UI/sprite","Nintendo 64 logo banner","UNKNOWN","UNKNOWN","UNKNOWN","LOW","Source XML: N64_PAL_11 textures/nintendo_rogo_static.xml; I8 logo banner."
