id,future_i18n_key,english,spanish
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L99,SETTINGS.GENERAL.UNKNOWN,UNKNOWN,DESCONOCIDO
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L127,SETTINGS.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,SETTINGS.GENERAL.SETTINGS,Settings,General
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L128,SETTINGS.GENERAL.GENERAL,General,General
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,SETTINGS.GENERAL.SETTINGS,Settings,General
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L129,SETTINGS.GENERAL.GENERAL,General,General
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L156,SETTINGS.GENERAL.CURSORVISIBILITY,CursorVisibility,CursorVisibility
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L160,SETTINGS.GENERAL.CURSORVISIBILITY,CursorVisibility,CursorVisibility
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L189,SETTINGS.GENERAL.BOOT,Boot,Inicio
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L191,SETTINGS.GENERAL.BOOTSEQUENCE,BootSequence,BootSequence
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L207,SETTINGS.GENERAL.LANGUAGES,Languages,Idiomas
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L209,SETTINGS.GENERAL.TITLESCREENTRANSLATION,TitleScreenTranslation,TitleScreenTranslation
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L211,SETTINGS.GENERAL.LANGUAGE,Language,Idioma
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L212,SETTINGS.GENERAL.LANGUAGES,Languages,Idiomas
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L223,SETTINGS.GENERAL.ACCESSIBILITY,Accessibility,Accesibilidad
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L226,SETTINGS.GENERAL.A11YTTS,A11yTTS,A11yTTS
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L231,SETTINGS.GENERAL.A11YDISABLEIDLECAM,A11yDisableIdleCam,A11yDisableIdleCam
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L234,SETTINGS.GENERAL.EXPERIMENTAL,EXPERIMENTAL,EXPERIMENTAL
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L236,SETTINGS.GENERAL.IMGUISCALE,ImGuiScale,ImGuiScale
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L249,SETTINGS.GENERAL.ABOUT,About,Acerca de
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L262,SETTINGS.GENERAL.AUDIO,Audio,Audio
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L264,SETTINGS.GENERAL.SETTINGS,Settings,Audio
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L264,SETTINGS.GENERAL.AUDIO,Audio,Audio
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L308,SETTINGS.GENERAL.GRAPHICS,Graphics,Gráficos
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L309,SETTINGS.GENERAL.SETTINGS,Settings,Gráficos
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L309,SETTINGS.GENERAL.GRAPHICS,Graphics,Gráficos
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L355,SETTINGS.GENERAL.INTERPOLATIONFPS,InterpolationFPS,InterpolationFPS
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L358,SETTINGS.GENERAL.INTERPOLATIONFPS,InterpolationFPS,InterpolationFPS
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L375,SETTINGS.GENERAL.MATCHREFRESHRATE,MatchRefreshRate,MatchRefreshRate
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L410,SETTINGS.GENERAL.CONTROLS,Controls,Controles
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L412,SETTINGS.GENERAL.SETTINGS,Settings,Controles
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L412,SETTINGS.GENERAL.CONTROLS,Controls,Controles
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L417,SETTINGS.GENERAL.CLEAR,Clear,Limpiar
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L418,SETTINGS.GENERAL.CANCEL,Cancel,Cancelar
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L429,SETTINGS.GENERAL.CONTROLLERCONFIGURATION,ControllerConfiguration,ControllerConfiguration
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L437,SETTINGS.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L440,SETTINGS.GENERAL.INPUTVIEWER,InputViewer,Visor de entrada
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L448,SETTINGS.GENERAL.INPUTVIEWERSETTINGS,InputViewerSettings,InputViewerSettings
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L455,SETTINGS.GENERAL.NOTIFICATIONS,Notifications,Notificaciones
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L457,SETTINGS.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L458,SETTINGS.GENERAL.POSITION,Position,Posición
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L482,SETTINGS.GENERAL.SIZE,Size:,Tamaño:
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L497,SETTINGS.GENERAL.THIS,This,Esto
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L506,SETTINGS.GENERAL.SETTINGS,Settings,Configuración
SOH_UI::soh::soh::SohGui::SohMenuSettings_cpp::L508,SETTINGS.GENERAL.MODMENU,ModMenu,ModMenu
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L31,ENHANCEMENTS.GAMEPLAY.VANILLA,Vanilla,Original
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L37,ENHANCEMENTS.GAMEPLAY.NORMAL,Normal,Normal
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L38,ENHANCEMENTS.GAMEPLAY.UNBREAKABLE,Unbreakable,Irrompible
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L43,ENHANCEMENTS.GAMEPLAY.NONE,None,Ninguno
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L44,ENHANCEMENTS.GAMEPLAY.NAVI,Navi,Navi
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L45,ENHANCEMENTS.GAMEPLAY.NPCS,NPCs,NPCs
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L50,ENHANCEMENTS.GAMEPLAY.DISABLED,Disabled,Desactivado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L51,ENHANCEMENTS.GAMEPLAY.BOTH,Both,Ambos
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L57,ENHANCEMENTS.GAMEPLAY.DISABLED,Disabled,Desactivado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L65,ENHANCEMENTS.GAMEPLAY.ALWAYS,Always,Siempre
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L66,ENHANCEMENTS.GAMEPLAY.ONCE,Once,Una vez
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L67,ENHANCEMENTS.GAMEPLAY.NEVER,Never,Nunca
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L96,ENHANCEMENTS.GAMEPLAY.OHKO,OHKO,OHKO
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L100,ENHANCEMENTS.GAMEPLAY.NONE,None,Ninguno
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L101,ENHANCEMENTS.GAMEPLAY.VANILLA,Vanilla,Original
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L102,ENHANCEMENTS.GAMEPLAY.JALAPE_O,Jalapeño,Jalapeño
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L103,ENHANCEMENTS.GAMEPLAY.SERRANO,Serrano,Serrano
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L104,ENHANCEMENTS.GAMEPLAY.HABANERO,Habanero,Habanero
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L111,ENHANCEMENTS.GAMEPLAY.ALWAYS,Always,Siempre
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L112,ENHANCEMENTS.GAMEPLAY.NEVER,Never,Nunca
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L116,ENHANCEMENTS.GAMEPLAY.DISABLED,Disabled,Desactivado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L122,ENHANCEMENTS.GAMEPLAY.NONE,None,Ninguno
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L128,ENHANCEMENTS.GAMEPLAY.DISABLED,Disabled,Desactivado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L129,ENHANCEMENTS.GAMEPLAY.ALWAYS,Always,Siempre
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L130,ENHANCEMENTS.GAMEPLAY.RANDOM,Random,Aleatorio
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L132,ENHANCEMENTS.GAMEPLAY.DUNGEONS,Dungeons,Mazmorras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L140,ENHANCEMENTS.GAMEPLAY.DISABLED,Disabled,Desactivado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L141,ENHANCEMENTS.GAMEPLAY.RANDOM,Random,Aleatorio
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L147,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L150,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L151,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L154,ENHANCEMENTS.GAMEPLAY.SAVING,Saving,Guardado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L155,ENHANCEMENTS.GAMEPLAY.AUTOSAVE,Autosave,Autoguardado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L156,ENHANCEMENTS.GAMEPLAY.AUTOSAVE,Autosave,Autoguardado
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L164,ENHANCEMENTS.GAMEPLAY.REMEMBERSAVELOCATION,RememberSaveLocation,RememberSaveLocation
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L171,ENHANCEMENTS.GAMEPLAY.CHESTSIZEANDTEXTUREMATCHCONTENTS,ChestSizeAndTextureMatchContents,ChestSizeAndTextureMatchContents
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L173,ENHANCEMENTS.GAMEPLAY.CHESTSIZEANDTEXTUREMATCHCONTENTS,ChestSizeAndTextureMatchContents,ChestSizeAndTextureMatchContents
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L174,ENHANCEMENTS.GAMEPLAY.CHESTSIZEDEPENDSSTONEOFAGONY,ChestSizeDependsStoneOfAgony,ChestSizeDependsStoneOfAgony
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L190,ENHANCEMENTS.GAMEPLAY.CHESTSIZEDEPENDSSTONEOFAGONY,ChestSizeDependsStoneOfAgony,ChestSizeDependsStoneOfAgony
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L192,ENHANCEMENTS.GAMEPLAY.CHESTSIZEANDTEXTUREMATCHESCONTENTS,ChestSizeAndTextureMatchesContents,ChestSizeAndTextureMatchesContents
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L198,ENHANCEMENTS.GAMEPLAY.NIGHTGSALWAYSSPAWN,NightGSAlwaysSpawn,NightGSAlwaysSpawn
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L201,ENHANCEMENTS.GAMEPLAY.DAYGRAVEPULL,DayGravePull,DayGravePull
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L204,ENHANCEMENTS.GAMEPLAY.DAMPEALLNIGHT,DampeAllNight,DampeAllNight
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L208,ENHANCEMENTS.GAMEPLAY.MARKETSNEAK,MarketSneak,MarketSneak
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L213,ENHANCEMENTS.GAMEPLAY.OPENALLHOURS,OpenAllHours,OpenAllHours
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L225,ENHANCEMENTS.GAMEPLAY.PAUSEANYCURSOR,PauseAnyCursor,PauseAnyCursor
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L233,ENHANCEMENTS.GAMEPLAY.PAUSEWARP,PauseWarp,PauseWarp
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L238,ENHANCEMENTS.GAMEPLAY.CONTROLS,Controls,Controles
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L240,ENHANCEMENTS.GAMEPLAY.NAVIONL,NaviOnL,NaviOnL
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L244,ENHANCEMENTS.GAMEPLAY.NOINPUTFORCREDITS,NoInputForCredits,NoInputForCredits
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L250,ENHANCEMENTS.GAMEPLAY.INCLUDEHELDINPUTSBUFFERWINDOW,IncludeHeldInputsBufferWindow,IncludeHeldInputsBufferWindow
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L256,ENHANCEMENTS.GAMEPLAY.PAUSEBUFFERWINDOW,PauseBufferWindow,PauseBufferWindow
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L287,ENHANCEMENTS.GAMEPLAY.MISC,Misc,Varios
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L289,ENHANCEMENTS.GAMEPLAY.DISABLECRITWIGGLE,DisableCritWiggle,DisableCritWiggle
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L293,ENHANCEMENTS.GAMEPLAY.BETTEROWL,BetterOwl,BetterOwl
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L297,ENHANCEMENTS.GAMEPLAY.CONVENIENCE,Convenience,Comodidad
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L299,ENHANCEMENTS.GAMEPLAY.QUITFISHINGATDOOR,QuitFishingAtDoor,QuitFishingAtDoor
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L304,ENHANCEMENTS.GAMEPLAY.INSTANTPUTAWAY,InstantPutaway,InstantPutaway
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L307,ENHANCEMENTS.GAMEPLAY.RESETNAVITIMER,ResetNaviTimer,ResetNaviTimer
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L312,ENHANCEMENTS.GAMEPLAY.COWOFTIME,CowOfTime,CowOfTime
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L345,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L348,ENHANCEMENTS.GAMEPLAY.CUTSCENES,Cutscenes,Escenas
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L349,ENHANCEMENTS.GAMEPLAY.ALL_SKIPS,All##Skips,Todos##Skips
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L365,ENHANCEMENTS.GAMEPLAY.NONE_SKIPS,None##Skips,Ninguno##Skips
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L420,ENHANCEMENTS.GAMEPLAY.TEXT,Text,Texto
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L422,ENHANCEMENTS.GAMEPLAY.FASTBOTTLES,FastBottles,FastBottles
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L425,ENHANCEMENTS.GAMEPLAY.FASTDROPS,FastDrops,FastDrops
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L434,ENHANCEMENTS.GAMEPLAY.SKIPTEXT,SkipText,SkipText
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L437,ENHANCEMENTS.GAMEPLAY.TEXTSPEED,TextSpeed,TextSpeed
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L440,ENHANCEMENTS.GAMEPLAY.SLOWTEXTSPEED,SlowTextSpeed,SlowTextSpeed
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L445,ENHANCEMENTS.GAMEPLAY.ANIMATIONS,Animations,Animaciones
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L447,ENHANCEMENTS.GAMEPLAY.FASTERHEAVYBLOCKLIFT,FasterHeavyBlockLift,FasterHeavyBlockLift
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L450,ENHANCEMENTS.GAMEPLAY.FASTERSHADOWSHIP,FasterShadowShip,FasterShadowShip
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L453,ENHANCEMENTS.GAMEPLAY.FASTCHESTS,FastChests,FastChests
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L457,ENHANCEMENTS.GAMEPLAY.SKIPSWIMDEEPENDANIM,SkipSwimDeepEndAnim,SkipSwimDeepEndAnim
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L461,ENHANCEMENTS.GAMEPLAY.FASTERBOTTLEEMPTY,FasterBottleEmpty,FasterBottleEmpty
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L464,ENHANCEMENTS.GAMEPLAY.CLIMBSPEED,ClimbSpeed,Velocidad de escalada
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L467,ENHANCEMENTS.GAMEPLAY.FASTERBLOCKPUSH,FasterBlockPush,FasterBlockPush
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L470,ENHANCEMENTS.GAMEPLAY.CRAWLSPEED,CrawlSpeed,Velocidad de arrastre
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L473,ENHANCEMENTS.GAMEPLAY.GLITCHAIDINGCRAWLSPACES,GlitchAidingCrawlspaces,GlitchAidingCrawlspaces
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L474,ENHANCEMENTS.GAMEPLAY.CRAWLSPEED,CrawlSpeed,Velocidad de arrastre
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L478,ENHANCEMENTS.GAMEPLAY.MWEEPSPEED,MweepSpeed,MweepSpeed
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L485,ENHANCEMENTS.GAMEPLAY.MISC,Misc,Misc
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L494,ENHANCEMENTS.GAMEPLAY.INSTANTSCARECROW,InstantScarecrow,InstantScarecrow
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L504,ENHANCEMENTS.GAMEPLAY.FASTERRUPEEACCUMULATOR,FasterRupeeAccumulator,FasterRupeeAccumulator
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L507,ENHANCEMENTS.GAMEPLAY.SKULLTULAFREEZE,SkulltulaFreeze,SkulltulaFreeze
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L518,ENHANCEMENTS.GAMEPLAY.SKIPSAVECONFIRMATION,SkipSaveConfirmation,SkipSaveConfirmation
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L521,ENHANCEMENTS.GAMEPLAY.LINKDEFAULTNAME,LinkDefaultName,LinkDefaultName
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L524,ENHANCEMENTS.GAMEPLAY.FASTERBEANSKULL,FasterBeanSkull,FasterBeanSkull
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L528,ENHANCEMENTS.GAMEPLAY.FORGETIME,ForgeTime,ForgeTime
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L534,ENHANCEMENTS.GAMEPLAY.GRAPHICS,Graphics,Gráficos
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L535,ENHANCEMENTS.GAMEPLAY.ENHANCEMENTS,Enhancements,Mejoras
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L538,ENHANCEMENTS.GAMEPLAY.MODS,Mods,Mods
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L540,ENHANCEMENTS.GAMEPLAY.DISABLEBOMBBILLBOARDING,DisableBombBillboarding,DisableBombBillboarding
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L546,ENHANCEMENTS.GAMEPLAY.DISABLEGROTTOROTATION,DisableGrottoRotation,DisableGrottoRotation
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L558,ENHANCEMENTS.GAMEPLAY.TEXTSPACING,TextSpacing,TextSpacing
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L564,ENHANCEMENTS.GAMEPLAY.DISABLELOD,DisableLOD,DisableLOD
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L569,ENHANCEMENTS.GAMEPLAY.ENEMYHEALTHBAR,EnemyHealthBar,EnemyHealthBar
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L572,ENHANCEMENTS.GAMEPLAY.NEWDROPS,NewDrops,NewDrops
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L577,ENHANCEMENTS.GAMEPLAY.PAUSEMENUANIMATEDLINK,PauseMenuAnimatedLink,PauseMenuAnimatedLink
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L582,ENHANCEMENTS.GAMEPLAY.EQUIPMENTALWAYSVISIBLE,EquipmentAlwaysVisible,EquipmentAlwaysVisible
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L587,ENHANCEMENTS.GAMEPLAY.SCALEADULTEQUIPMENTASCHILD,ScaleAdultEquipmentAsChild,ScaleAdultEquipmentAsChild
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L590,ENHANCEMENTS.GAMEPLAY.EQUIPMENTALWAYSVISIBLE,EquipmentAlwaysVisible,EquipmentAlwaysVisible
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L596,ENHANCEMENTS.GAMEPLAY.FIRSTPERSONGAUNTLETS,FirstPersonGauntlets,FirstPersonGauntlets
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L600,ENHANCEMENTS.GAMEPLAY.SHOWDOORLOCKSONBOTHSIDES,ShowDoorLocksOnBothSides,ShowDoorLocksOnBothSides
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L603,ENHANCEMENTS.GAMEPLAY.TOTMEDALLIONSCOLORS,ToTMedallionsColors,ToTMedallionsColors
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L613,ENHANCEMENTS.GAMEPLAY.MINIMALUI,MinimalUI,MinimalUI
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L617,ENHANCEMENTS.GAMEPLAY.DISABLETUNICWARNINGTEXT,DisableTunicWarningText,DisableTunicWarningText
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L621,ENHANCEMENTS.GAMEPLAY.REMEMBERMAPTOGGLESTATE,RememberMapToggleState,RememberMapToggleState
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L627,ENHANCEMENTS.GAMEPLAY.VISUALAGONY,VisualAgony,VisualAgony
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L632,ENHANCEMENTS.GAMEPLAY.NOHUDHEARTANIMATION,NoHUDHeartAnimation,NoHUDHeartAnimation
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L636,ENHANCEMENTS.GAMEPLAY.DRAWLINEUPTICK,DrawLineupTick,DrawLineupTick
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L641,ENHANCEMENTS.GAMEPLAY.DISABLEBLACKBARS,DisableBlackBars,DisableBlackBars
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L647,ENHANCEMENTS.GAMEPLAY.DYNAMICWALLETICON,DynamicWalletIcon,DynamicWalletIcon
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L652,ENHANCEMENTS.GAMEPLAY.ALWAYSSHOWDUNGEONMINIMAPICON,AlwaysShowDungeonMinimapIcon,AlwaysShowDungeonMinimapIcon
SOH_UI::soh::soh::SohGui::SohMenuEnhancements_cpp::L656,ENHANCEMENTS.GAMEPLAY.FILESELECTMOREINFO,FileSelectMoreInfo,FileSelectMoreInfo
